"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.514229170E-1,-3.701508641E-1,5.837354064E-1,4.536753297E-1,8.267889644E-1
4.538679170E-1,-3.744269311E-1,6.228307486E-1,4.677252173E-1,8.642225102E-1
4.563120840E-1,-3.664856851E-1,6.662021279E-1,4.829968214E-1,9.007901876E-1
4.587570320E-1,-3.805355728E-1,6.997997165E-1,4.915489256E-1,9.360274096E-1
4.612028130E-1,-3.707617223E-1,7.376732826E-1,4.988793135E-1,9.646277500E-1
4.636477610E-1,-3.854224980E-1,7.584426999E-1,5.043771267E-1,9.890308979E-1
4.660919280E-1,-3.756486475E-1,7.853207588E-1,5.068205595E-1,1.007326998E0
4.685368760E-1,-3.768703938E-1,7.950946093E-1,5.062097311E-1,1.015113306E0
4.709826570E-1,-3.695400059E-1,8.134205341E-1,5.074314475E-1,1.027472362E0
4.734276050E-1,-3.597661853E-1,8.256378174E-1,5.110966563E-1,1.035533344E0
4.758717720E-1,-3.585444391E-1,8.390768766E-1,5.117074847E-1,1.046159008E0
4.783167720E-1,-3.444945514E-1,8.598462343E-1,5.165944099E-1,1.060604463E0
4.807625010E-1,-3.530466557E-1,8.769504428E-1,5.190379024E-1,1.078463891E0
4.832075010E-1,-3.396076262E-1,9.050502181E-1,5.257573724E-1,1.100395407E0
4.856516670E-1,-3.518249393E-1,9.252088070E-1,5.306442976E-1,1.123109743E0
4.880966150E-1,-3.475488722E-1,9.575846195E-1,5.379746556E-1,1.152030925E0
4.905423450E-1,-3.591552973E-1,9.765213728E-1,5.465267897E-1,1.175277861E0
4.929873450E-1,-3.646530807E-1,1.002788544E0,5.550789237E-1,1.202775683E0
4.954315110E-1,-3.732051849E-1,1.014394999E0,5.636309981E-1,1.218999272E0
4.978764590E-1,-3.866442144E-1,1.021114588E0,5.727939606E-1,1.232988918E0
5.003222400E-1,-3.848116100E-1,1.021725416E0,5.813460946E-1,1.236917977E0
5.027671880E-1,-4.000832438E-1,1.006453753E0,5.862330198E-1,1.231537621E0
5.052113550E-1,-3.933637440E-1,9.948472977E-1,5.966176987E-1,1.224911776E0
5.076563030E-1,-4.123005271E-1,9.667475820E-1,6.039480567E-1,1.212165775E0
5.101020840E-1,-4.129114151E-1,9.490324855E-1,6.125001907E-1,1.202628363E0
5.125470320E-1,-4.300156236E-1,9.160457850E-1,6.179979444E-1,1.185738072E0
5.149911990E-1,-4.391785860E-1,8.873351812E-1,6.234957576E-1,1.170037826E0
5.174361990E-1,-4.501741529E-1,8.445746303E-1,6.289935112E-1,1.145249279E0
5.198819280E-1,-4.703326821E-1,8.012032509E-1,6.314370036E-1,1.123321935E0
5.223269280E-1,-4.776630700E-1,7.572209835E-1,6.332696080E-1,1.096620273E0
5.247710950E-1,-5.075954199E-1,7.034648657E-1,6.326587200E-1,1.073672661E0
5.272160420E-1,-5.161475539E-1,6.594825983E-1,6.332696080E-1,1.049931422E0
5.296618240E-1,-5.503559709E-1,6.026722193E-1,6.314370036E-1,1.031900280E0
5.321067720E-1,-5.644058585E-1,5.586899519E-1,6.277717948E-1,1.012317076E0
