"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.953997041E0,2.304143143E1,3.063358116E1,1.678345680E1,4.184505083E1
2.963997041E0,2.211951828E1,3.031548691E1,1.614515114E1,4.085300161E1
2.973997041E0,2.334923935E1,2.991278458E1,1.757328224E1,4.181843981E1
2.983997041E0,2.334673309E1,3.124873161E1,1.817680550E1,4.303428205E1
2.993997041E0,2.242388153E1,3.036416626E1,1.909268188E1,4.230063306E1
3.003997041E0,2.227190399E1,3.062654114E1,1.707392502E1,4.153963944E1
3.013997041E0,2.211823654E1,2.975365067E1,1.800879669E1,4.121665772E1
3.023997041E0,2.426885605E1,3.141941643E1,1.881682396E1,4.393438251E1
3.033997041E0,2.288755417E1,2.903985977E1,1.881002045E1,4.148458100E1
3.043997041E0,2.242764282E1,2.698534012E1,1.990572548E1,4.034161190E1
3.053997041E0,2.519471741E1,2.922460175E1,1.902003288E1,4.301874921E1
3.063997041E0,2.427395630E1,2.831224442E1,1.807910919E1,4.144468998E1
3.073997041E0,2.335103607E1,2.684962463E1,1.977549934E1,4.070925697E1
3.083997041E0,2.488839722E1,2.847825623E1,1.871152878E1,4.219673806E1
3.093997041E0,2.596725845E1,2.615226746E1,1.984864998E1,4.185938975E1
3.103997041E0,2.689158630E1,2.658301926E1,1.816424561E1,4.194942366E1
3.113997041E0,2.750651550E1,2.601893616E1,1.926942444E1,4.248416354E1
3.123997041E0,2.750651550E1,2.601893616E1,1.926942444E1,4.248416354E1
3.133997041E0,2.812602997E1,2.510444260E1,1.666442871E1,4.121904638E1
3.143997041E0,2.812602997E1,2.510444260E1,1.666442871E1,4.121904638E1
3.153997041E0,2.889323807E1,2.543178558E1,1.807260132E1,4.252309775E1
3.163997041E0,2.766397858E1,2.611772537E1,1.586737823E1,4.122141411E1
3.173997041E0,2.920470047E1,2.466234589E1,1.561302757E1,4.129058566E1
3.183997041E0,2.812473297E1,2.642417908E1,1.618482018E1,4.184717731E1
3.193997041E0,2.812527466E1,2.540389633E1,1.697047234E1,4.152572642E1
3.203997041E0,2.720214844E1,2.597025681E1,1.632189369E1,4.099774789E1
3.213997041E0,2.596868515E1,2.685688400E1,1.767382622E1,4.132830701E1
3.223997041E0,2.596793365E1,2.715633774E1,1.797986794E1,4.165424238E1
3.233997041E0,2.581049347E1,2.879402542E1,1.919510269E1,4.317093282E1
3.243997041E0,2.488831711E1,2.891353226E1,1.824219322E1,4.228709365E1
