"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.246360570E-1,8.348963737E0,-3.578292131E0,1.320897341E0,9.179005385E0
3.270404840E-1,8.257987976E0,-3.628568411E0,2.702292442E0,9.416116958E0
3.294452760E-1,8.341781616E0,-3.561533213E0,2.034338951E0,9.295610487E0
3.318496510E-1,8.329811096E0,-3.583080292E0,1.864357710E0,9.257431984E0
3.342533490E-1,8.360934258E0,-3.599838972E0,2.984796047E0,9.579826185E0
3.366576200E-1,8.504580498E0,-3.535198212E0,1.507637024E0,9.332656923E0
3.390618380E-1,8.545279503E0,-3.607021332E0,3.037466049E0,9.760051469E0
3.414657450E-1,8.717654228E0,-3.547168732E0,2.240231037E0,9.674633655E0
3.438700160E-1,8.801448822E0,-3.602233171E0,2.319236279E0,9.788791657E0
3.462743910E-1,8.904395103E0,-3.635750532E0,3.298422813E0,1.016791656E1
3.486787130E-1,9.038464546E0,-3.595050812E0,1.869145989E0,9.905147067E0
3.510826720E-1,9.067193985E0,-3.671662092E0,3.492344856E0,1.038708727E1
3.534863180E-1,9.218021393E0,-3.647721052E0,2.503582478E0,1.022475978E1
3.558902760E-1,9.241962433E0,-3.678844213E0,2.714262962E0,1.031091595E1
3.582938180E-1,9.304209709E0,-3.705179214E0,3.480374336E0,1.060234299E1
3.606972550E-1,9.344908714E0,-3.693208933E0,2.082220554E0,1.026171299E1
3.631010570E-1,9.304209709E0,-3.779396296E0,3.669508457E0,1.069193373E1
3.655049630E-1,9.402367592E0,-3.733908653E0,2.465276718E0,1.041269319E1
3.679093910E-1,9.335332870E0,-3.779396296E0,2.807632923E0,1.045538516E1
3.703133490E-1,9.347302437E0,-3.786578894E0,3.324758053E0,1.061905168E1
3.727170990E-1,9.361667633E0,-3.772214174E0,1.967304111E0,1.028303001E1
3.751217340E-1,9.308998108E0,-3.829672575E0,3.485162735E0,1.065223906E1
3.775259530E-1,9.344908714E0,-3.748273134E0,2.065462112E0,1.027827827E1
3.799299110E-1,9.287450790E0,-3.774608374E0,2.515552521E0,1.033597673E1
3.823343380E-1,9.313785553E0,-3.741090775E0,2.759750843E0,1.040954304E1
3.847384010E-1,9.301815987E0,-3.693208933E0,1.402296782E0,1.010593930E1
3.871426200E-1,9.265903473E0,-3.721938133E0,2.790874004E0,1.036816128E1
3.895466820E-1,9.332939148E0,-3.628568411E0,1.167675018E0,1.008135540E1
3.919506930E-1,9.234780312E0,-3.647721052E0,1.713529468E0,1.007587314E1
3.943553280E-1,9.282662392E0,-3.571109772E0,1.653677106E0,1.008242501E1
3.967595470E-1,9.292238235E0,-3.530410051E0,4.015634358E-1,9.948403879E0
3.991635050E-1,9.258721352E0,-3.537592649E0,1.684800386E0,1.005370753E1
4.015679840E-1,9.342514992E0,-3.429857969E0,-2.698023617E-2,9.952247987E0
4.039727760E-1,9.289844513E0,-3.446616888E0,6.122441292E-1,9.927498271E0
4.063780360E-1,9.344908714E0,-3.417887688E0,3.225581944E-1,9.955567232E0
4.087827760E-1,9.335332870E0,-3.353246927E0,-8.313974142E-1,9.954090939E0
4.111868380E-1,9.277874947E0,-3.379581928E0,3.800165653E-1,9.881545938E0
4.135913700E-1,9.308998108E0,-3.276635647E0,-1.410769224E0,9.969155267E0
4.159954320E-1,9.179717064E0,-3.317335367E0,-5.297409296E-1,9.775098197E0
4.183991820E-1,9.143804550E0,-3.274241686E0,-9.870138168E-1,9.762377607E0
4.208033490E-1,9.057616234E0,-3.247906685E0,-1.853677630E0,9.799256626E0
4.232074630E-1,8.909182549E0,-3.243118286E0,-6.853573918E-1,9.505843711E0
4.256118910E-1,8.846936226E0,-3.144960403E0,-2.404320240E0,9.692255276E0
4.280156410E-1,8.648226738E0,-3.164113045E0,-1.358099103E0,9.308483778E0
4.304189740E-1,8.605133057E0,-3.087501764E0,-1.959017873E0,9.349798559E0
4.328231930E-1,8.492609978E0,-3.056378603E0,-2.574301243E0,9.385781869E0
4.352269430E-1,8.384875298E0,-2.994132042E0,-1.446680784E0,9.020191003E0
4.376305880E-1,8.380087852E0,-2.886397600E0,-3.134520531E0,9.401190482E0
4.400347550E-1,8.277140617E0,-2.891185760E0,-1.860859871E0,8.962857321E0
4.424387130E-1,8.317840576E0,-2.752328157E0,-2.500084400E0,9.111103344E0
4.448429840E-1,8.293899536E0,-2.714022636E0,-2.871169567E0,9.186854906E0
4.472468380E-1,8.320234299E0,-2.673322916E0,-1.741155028E0,8.910924477E0
4.496503800E-1,8.399239540E0,-2.536859035E0,-3.261407852E0,9.360537367E0
4.520548070E-1,8.432757378E0,-2.546435595E0,-1.894377232E0,9.010238417E0
4.544588700E-1,8.653015137E0,-2.436307192E0,-2.581483364E0,9.352770715E0
4.568624630E-1,8.811024666E0,-2.421942234E0,-2.598242283E0,9.500043306E0
4.592665780E-1,8.973823547E0,-2.390819073E0,-1.547232985E0,9.414852883E0
4.616706930E-1,9.201262474E0,-2.295055389E0,-3.096214771E0,9.975823588E0
4.640751200E-1,9.328150749E0,-2.335754871E0,-1.659755588E0,9.758326487E0
4.664789740E-1,9.591500282E0,-2.271114349E0,-2.648518085E0,1.020634538E1
4.688824630E-1,9.761482239E0,-2.295055389E0,-2.694006443E0,1.038323097E1
4.712867340E-1,1.000328541E1,-2.275902271E0,-1.695667028E0,1.039811217E1
4.736905360E-1,1.022833157E1,-2.254355669E0,-3.153673172E0,1.093830611E1
4.760941300E-1,1.037676525E1,-2.304631472E0,-1.666937828E0,1.075951974E1
4.784983490E-1,1.061138725E1,-2.309419870E0,-2.770617485E0,1.120764386E1
4.809026720E-1,1.071193981E1,-2.395607233E0,-2.555148602E0,1.127002098E1
4.833070470E-1,1.083403873E1,-2.433912754E0,-1.856071591E0,1.125812277E1
4.857107450E-1,1.099923134E1,-2.426730633E0,-3.333230495E0,1.174659683E1
4.881142860E-1,1.106387138E1,-2.546435595E0,-1.750731349E0,1.148732538E1
4.905186610E-1,1.124821758E1,-2.546435595E0,-2.940598488E0,1.190184240E1
4.929225160E-1,1.129370594E1,-2.656563997E0,-2.564724922E0,1.188204276E1
4.953259530E-1,1.138468075E1,-2.692475557E0,-1.896771431E0,1.185150295E1
4.977299110E-1,1.144213963E1,-2.733175278E0,-3.294925213E0,1.221676465E1
5.001335570E-1,1.142059231E1,-2.843303919E0,-1.657361507E0,1.188533353E1
5.025373590E-1,1.149959755E1,-2.862456560E0,-2.966933727E0,1.221626363E1
5.049411610E-1,1.147805023E1,-2.939067841E0,-2.303768158E0,1.207025702E1
5.073448070E-1,1.147805023E1,-2.986949921E0,-1.784248710E0,1.199379216E1
5.097492340E-1,1.146368694E1,-3.001314402E0,-3.019603729E0,1.222873719E1
5.121533490E-1,1.139904594E1,-3.068349123E0,-1.279093862E0,1.187388293E1
5.145572030E-1,1.137271023E1,-3.068349123E0,-2.705976963E0,1.208617456E1
5.169614220E-1,1.125300598E1,-3.152142525E0,-1.839313030E0,1.183001346E1
5.193655360E-1,1.119554806E1,-3.111442804E0,-1.552021146E0,1.172306028E1
5.217701200E-1,1.113569450E1,-3.111442804E0,-2.547966480E0,1.183963266E1
5.241740780E-1,1.096571350E1,-3.176083565E0,-8.625206947E-1,1.144894411E1
5.265776720E-1,1.091783142E1,-3.132989883E0,-2.287009716E0,1.158641800E1
5.289823070E-1,1.071672726E1,-3.173689365E0,-1.274305582E0,1.124919562E1
5.313867860E-1,1.061378193E1,-3.125807524E0,-1.221635461E0,1.113173089E1
5.337909010E-1,1.041507053E1,-3.121019363E0,-2.033235073E0,1.106112566E1
5.361952240E-1,1.018044949E1,-3.168901443E0,-4.267947078E-1,1.067078450E1
5.385997030E-1,1.002483273E1,-3.101866484E0,-1.944653392E0,1.067241883E1
5.410045990E-1,9.754300117E0,-3.159324884E0,-7.404217124E-1,1.027987981E1
5.434089740E-1,9.524466515E0,-3.111442804E0,-9.415259361E-1,1.006394604E1
5.458127760E-1,9.316179276E0,-3.104260683E0,-1.652573228E0,9.957842585E0
